iteration,x_um,y_um,z_um,radius_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,0.0,0.0,0.0,8.2125e-07,9.124999999999999e-07,0.0,40.0,0.1743395036941791,success
2,8.453044891357398e-09,-4.555066078901293e-08,4.431295752525327e-08,9.768283386528492e-07,1.3613390746712684e-06,-5.788343146443366e-07,34.97655391693115,5.6562627162655374,success
3,-1.4530406127683816e-07,-3.410734547488391e-07,3.6100025076419114e-07,1.168170823578257e-06,8.615178599022328e-07,2.3587991278618547e-08,24.85839381814003,2.4398059787386184,success
4,2.1706718513742083e-07,3.098672763910144e-07,-2.5019116815179587e-07,4.879900581925175e-07,1.06307776148431e-06,-1.0178242433816198e-07,41.89749374985695,0.18740122219775043,success
5,-9.435823175655988e-08,-2.677809816816736e-07,2.555779657355995e-07,1.2704788636753822e-06,1.46e-06,-7.3e-07,26.804925106993778,0.3681928793756841,success
6,4.0556240250876574e-08,1.1152388960491026e-08,-1.0138384724422231e-08,9.229492519647027e-07,1.4319646068734468e-06,-6.636298714963357e-07,36.45478040922003,0.14122344615566496,success
7,1.6860076394914796e-09,-5.890511319054866e-08,5.754745664118724e-08,9.900688709728648e-07,1.340257424848324e-06,-5.532187242947742e-07,34.36870806803312,2.853507876719662,success
8,1.0367060442516692e-08,-4.045121043165666e-08,3.8928914393476394e-08,9.712681857867378e-07,1.373185686094325e-06,-5.934504702370785e-07,35.43660183019055,1.9465383660491973,success
9,1.1768699439534639e-07,9.684306681452637e-08,-7.200753055464867e-08,8.615831938402464e-07,1.3547962299734021e-06,-5.546213871949259e-07,27.841025564893382,0.3800937539214294,success
10,9.661328745012267e-08,-5.121972570349042e-08,6.281849203502398e-08,1.2201416078212419e-06,1.46e-06,-7.3e-07,20.0,0.27699937365120375,success
11,-2.417676681428825e-07,-5.5632641579443256e-08,-2.3976894457327898e-08,7.3851513799863e-07,1.46e-06,-7.3e-07,34.59597925562238,0.20740449347664047,success
12,-1.207376442955838e-07,-1.1053147676691921e-07,7.589368498426695e-08,8.621195670946247e-07,1.3515718735740078e-06,-5.609675323423117e-07,51.956521889958445,3.302308506463216,success
13,4.6423972698161133e-08,-8.188711124336701e-08,9.113958155667521e-08,1.1364964391093148e-06,1.3463990243228585e-06,-5.74832489471959e-07,24.78288385303048,1.0426295738779416,success
14,-7.887373684980697e-08,-1.4166634069236305e-07,1.2046452861782382e-07,1.0234461147607614e-06,1.3474136099359457e-06,-5.688137424808622e-07,41.734911928612505,0.5458643868594034,success
15,-8.42735546634681e-08,-6.630542885041379e-08,4.490341904788151e-08,8.197642985588226e-07,1.3080534112824244e-06,-4.979916677715677e-07,47.99965731131471,1.423715401279343,success
16,7.541074403128756e-09,-4.786570901050977e-08,4.690353864683645e-08,9.783814167769577e-07,1.3522253540015668e-06,-5.673213833813014e-07,34.66752727674876,1.2712332293918993,success
17,-2.4936159494750998e-08,-2.8122043955106416e-08,5.830932456781697e-08,6.930395418489641e-07,1.4446157938559233e-06,-6.042513632702328e-07,60.0,8.972460394854098,success
18,8.650981181811311e-08,5.8847202048818144e-08,7.213646573062212e-08,4.0153974581768316e-07,1.46e-06,-7.3e-07,60.0,10.115155816531995,success
19,3.65e-07,3.65e-07,-1.9175132958359256e-07,2.7837732087082547e-07,1.46e-06,-7.3e-07,60.0,0.007281308506797439,success
20,-2.029885972671442e-07,1.443782491209483e-07,7.603000912169132e-08,1.825e-07,1.46e-06,-4.2771293122728573e-07,60.0,0.004531206776290416,success
21,5.818377557233177e-08,-6.420213565875381e-08,8.446287455842774e-08,6.978845096562571e-07,1.46e-06,-7.3e-07,60.0,7.365565104109742,success
22,5.240775148442358e-08,5.477447272657076e-08,-1.6803470612911548e-08,7.093357863171714e-07,1.46e-06,-6.906769488702232e-07,60.0,0.07390958566097423,success
23,-3.65e-07,-1.8117610213266573e-08,-1.4819014900484605e-07,3.132023754831188e-07,1.2534225741895536e-06,4.948148547117532e-07,37.94489884916427,0.0737981912548449,success
24,5.499067068977047e-08,1.7027103992584016e-07,6.370429328834092e-08,5.712444678128881e-07,1.46e-06,-7.3e-07,60.0,117.63345868772282,success
25,6.502691382144115e-08,1.8696913846858449e-07,8.691769703934607e-08,5.596941040989205e-07,1.46e-06,-7.3e-07,60.0,141.98321224106357,success
26,9.844653548158858e-08,2.151374962019663e-07,1.3432335966699253e-07,5.808797799718254e-07,1.46e-06,-7.3e-07,60.0,445.7685035025507,success
27,1.552398986559629e-07,2.385033720910812e-07,1.4375158215358708e-07,6.434608417253099e-07,1.46e-06,-7.3e-07,60.0,107.17271373520398,success
28,4.2445519946219166e-08,2.380193737548747e-07,2.2385815806258862e-07,5.730057918069905e-07,1.46e-06,-7.3e-07,60.0,378.6070999548053,success
29,8.949904262989987e-08,2.3116114601094765e-07,1.6249360705447632e-07,5.920291014881781e-07,1.46e-06,-7.3e-07,60.0,278.7813201548767,success
