iteration,radius_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,1.197e-06,1.862e-06,0.0,40.0,1.8939441256217088e-13,success
2,1.0215944666862489e-06,2.4790833575725555e-06,9.540580043792724e-07,44.13605213165283,6.256809007645663e-14,success
3,1.676438681775704e-06,9.60234506752342e-07,-1.8092679447680714e-07,33.02312718704343,6.346249221197085e-13,success
4,1.420240785934031e-06,2.8852431272976103e-06,7.289464261382816e-08,47.77539316564798,1.0885271771534709e-13,success
5,2.0053119511491497e-06,5.32e-07,2.0161875907613746e-07,30.0,8.248777491426178e-14,success
6,1.578220465778419e-06,9.7939408209137e-07,-2.811911156285295e-07,33.11706338493913,6.156804345915494e-13,success
7,1.643257939273425e-06,1.6748265284137876e-06,-1.9364521842736765e-07,30.688867664000128,4.510385458403197e-13,success
8,1.6360506875921542e-06,7.775560913838225e-07,-1.8992417916941354e-07,39.202660468232345,1.2490217067306291e-12,success
9,1.7037143820965882e-06,5.32e-07,-2.1220256154255066e-07,40.99127611310895,3.5849458104415046e-13,success
10,1.6243626711813037e-06,6.470874620133301e-07,-4.4023476634144295e-08,40.240780004866664,3.737252784700694e-13,success
11,1.6304689287670182e-06,8.591291773293052e-07,-2.1897960281426149e-07,37.761111274888364,2.619385164372776e-13,success
12,2.128e-06,5.32e-07,-1.679676957941937e-07,30.0,2.5041188043061714e-13,success
13,1.2821624925169466e-06,5.32e-07,-1.743158253484278e-07,30.801675958429005,4.645921618312877e-13,success
14,1.592411398775549e-06,1.8700248549425408e-06,-1.8662693186223413e-07,49.75026301258408,2.729489851815915e-13,success
15,1.891528494928183e-06,2.1873421538295457e-06,-1.7101348165817448e-07,38.171266815973915,2.6895865359793963e-13,success
16,1.3706196403896357e-06,5.32e-07,-1.6042513353938925e-07,45.77496240848887,2.0910364596056503e-13,success
17,1.6219691955145355e-06,5.32e-07,-1.4014757017459246e-07,30.0,4.514804714970697e-13,success
18,2.128e-06,5.32e-07,-1.2835667188527668e-07,50.0,2.9422491059859237e-13,success
19,1.0912958001052752e-06,3.192e-06,-2.2907826469103384e-07,30.0,1.2324954360070279e-12,success
20,6.438117887577537e-07,3.192e-06,-2.4149590115347574e-07,30.0,5.433092388257608e-13,success
21,1.2737192690380406e-06,3.192e-06,-2.898129863610364e-07,30.0,4.0466446679570777e-13,success
22,4.6425294345011926e-07,3.192e-06,-1.3382358984074792e-07,30.0,1.1673969045551014e-12,success
23,2.66e-07,1.3556232116502615e-06,-1.803973708277581e-07,30.0,2.6416444285050197e-13,success
24,9.3367092674979e-07,3.192e-06,-1.0525935182232875e-07,30.0,7.610357875000735e-13,success

# diff normalizationiteration,radius_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,1.197e-06,1.862e-06,0.0,40.0,1.8939441256217088e-13,success
2,5.791053861677646e-07,1.3884579993486406e-06,-6.034918949604034e-07,36.68631732463837,3.827215979187067e-13,success
3,1.6628957146462054e-06,2.163481686513871e-06,4.287673486322165e-07,45.13361619785428,2.216222338276162e-13,success
4,1.170902179222554e-06,2.9562508017085495e-06,1.2138622150942684e-06,44.48080463334918,4.430160628244859e-14,success
5,3.8847322526160897e-07,1.4874617515561657e-06,-2.5601266837303095e-07,38.589847954795545,1.1774452051926342e-13,success
