x, y, z, xSpan, ySpan, zSpan, DFTz, theta, n, power
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,1,6.337549947865964e-10
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,2,2.529700005830375e-09
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,3,5.646697460275581e-09
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,4,1.0091010872248566e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,5,1.5825332909457503e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,6,2.2801528034470664e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,7,3.0690465665474265e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,8,3.984953036274443e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,9,5.020183812746616e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,10,6.16604877688119e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,11,7.313076365926474e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,12,8.568728063022944e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,13,9.922463475789604e-08
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,14,1.136291890914975e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,15,1.2693636044570215e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,16,1.4113136249135234e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,17,1.5609503361080936e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,18,1.7170176921846755e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,19,1.8556537572450833e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,20,2.0022814995119817e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,21,2.1556699613206617e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,22,2.314531607709855e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,23,2.45765014306967e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,24,2.609068034236509e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,25,2.767514136104793e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,26,2.9316583838398477e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,27,3.0869620926595253e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,28,3.250950864677569e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,29,3.4222481523607496e-07
-5e-07,-5e-07,-2.39e-07,8.059184e-07,1.46e-06,1.200321e-06,6.907945e-08,28.106,30,3.599415955865353e-07
