iteration,AlNxSpan_um,AlNySpan_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,1100.0,1100.0,1100.0,0.0,45.0,0.0,historical
2,1331.8033695220947,1278.0276536941528,663.771265745163,-864.055410027504,45.0,0.0,historical
3,885.0502153858544,705.0345536321403,1413.177297823131,870.4224731773138,45.0,0.0,historical
4,1888.6868070811033,402.71432492882013,1889.1461236402392,-34.28628668189049,45.0,0.0,historical
5,549.4043644517661,1566.4502326399088,405.79845122993,43.460940942168236,45.0,0.0,historical
6,502.4152415251775,2000.0,613.3948297503285,-148.6498822500068,45.0,0.0,historical
7,831.3235318434213,1491.7787655443485,200.0,284.56818563645913,45.0,0.0,historical
8,330.51343713663425,1168.1149721232719,313.3476724468445,218.5948904442579,45.0,0.0,historical
9,588.1885405522214,1685.423342840013,522.7113886854847,-49.03343957042249,45.0,0.0,historical
10,540.944049103407,1675.622113805183,363.2028313016714,100.05563910111871,45.0,0.0,historical
11,491.98253928309373,951.9506279294791,325.4761000153899,-149.2354260091901,45.0,0.0,historical
12,200.0,1753.8741572608242,266.9709146668223,654.5422961914625,45.0,0.0,historical
13,403.6924466189927,1402.7224184509605,238.73956810888532,36.99920685323359,45.0,0.0,historical
14,523.3618610410266,1448.212389833422,411.97917502374344,52.495867667794535,45.0,0.0,historical
15,841.4312168462751,1557.4643807982675,418.91111752115887,-326.1148429689646,45.0,0.0,historical
16,570.1229456459776,1613.9963155587168,421.83165362129915,21.542487270095354,45.0,0.0,historical
17,388.54910359721686,1197.3191290053792,424.9689787400001,149.58545697100752,45.0,0.0,historical
18,741.1649246276942,1469.2680751202456,404.13159579578365,148.13834119084655,45.0,0.0,historical
19,711.4243681069286,1980.092688527863,540.6461703745301,179.4701384513757,45.0,0.0,historical
20,659.5778858254549,1506.7360851844933,431.8916291543912,114.4716803534194,45.0,0.0,historical
21,734.1956325927113,1501.4705402548682,394.6052565697553,202.26640643157006,45.0,0.0,historical
22,1212.6562602054996,1490.8693508561937,397.5235949752113,249.45051952813157,45.0,0.0,historical
23,724.2341047255229,1391.511203324561,397.4900757107274,107.57750102385096,45.0,0.0,historical
24,637.9955422462557,1535.6388223194533,389.7194096871943,224.5192320513251,45.0,0.0,historical
25,765.410026485955,1379.8052075406652,371.9215340715299,130.42691910035475,45.0,0.0,historical
26,763.7399429279308,1482.6623597684384,360.48692162597143,327.56838092387363,45.0,0.0,historical
27,759.1675444759809,1494.4872740168585,385.8563547422648,137.38079873563467,45.0,0.0,historical
28,477.3660046709271,1467.8567254623592,410.5551071262549,186.27216237099134,45.0,0.0,historical
29,587.636244356513,1515.0037671475122,830.9996756823132,28.888291953356486,45.0,0.0,historical
30,732.557697899294,1571.6927177096316,409.66488732053,174.88886558132947,45.0,0.0,historical
31,1100.0,1100.0,1100.0,0.0,45.0,0.0,historical
32,1171.7607855796814,1407.9616904258728,797.1223294734955,421.7463731765747,45.0,0.0,historical
33,472.83305712044245,779.2656118050219,1928.3734204247594,-344.5378188043833,45.0,0.0,historical
34,1847.4470991641283,493.6277911067009,1216.1770453676581,953.92613299191,45.0,0.0,historical
35,697.1451392397286,1665.4740886762738,549.6202370151877,-781.0163702815771,45.0,0.0,historical
36,2000.0,2000.0,2000.0,-1000.0,45.0,0.0,historical
37,2000.0,200.0,2000.0,-1000.0,45.0,0.0,historical
38,200.0,200.0,200.0,-1000.0,45.0,0.0,historical
39,2000.0,200.0,200.0,-1000.0,45.0,0.0,historical
40,2000.0,2000.0,200.0,1000.0,45.0,0.0,historical
41,1100.0,1100.0,1100.0,0.0,45.0,0.0,historical
42,321.5671271085739,1563.4029984474182,1777.554965019226,288.9139652252197,45.0,0.0,historical
43,1176.3421108946204,627.1251358091831,461.9800096377731,-363.2714804261923,45.0,0.0,historical
44,689.1761822625995,1031.262970902026,1098.3769400045276,558.0990612506866,45.0,0.0,historical
45,1761.0417624935508,1180.0224771723151,1513.8417588546872,-608.7425053119659,45.0,0.0,historical
46,200.0,1752.2197732231784,1687.3717029539152,439.17883708648264,45.0,0.0,historical
47,350.8582808343832,1506.584907873278,1808.4114712535884,248.20813441683168,45.0,0.0,historical
48,200.0,1524.3423188628287,1086.1807003938486,336.28082631510057,45.0,0.0,historical
49,947.6975628361355,1116.51491313839,1791.5362941683013,-277.53598508640005,45.0,0.0,historical
50,492.59643449167794,1545.45290979422,1975.1600138171757,183.57257592053966,45.0,0.0,historical
51,200.0,1584.5258117436615,1802.0962731143588,458.19162354038144,45.0,0.0,historical
52,313.4188464948552,1500.950467822359,1789.8966182165507,267.3825719138965,45.0,0.0,historical
53,222.65227185728338,1321.8554736731303,1729.5479312083849,236.94900504397404,45.0,0.0,historical
54,1100.0,1100.0,1100.0,0.0,45.0,0.0,historical
55,968.5962200164795,1551.1080741882324,244.9893455952406,-146.32189273834229,45.0,0.0,historical
56,1768.2096760720015,805.1758900284767,1820.8876308053732,768.7654420733452,45.0,0.0,historical
57,547.3191631957889,576.7093611881138,1123.0986274778843,-792.3826463520527,45.0,0.0,historical
58,1122.0549900084736,1350.7644515484571,900.715994089842,169.44888979196548,45.0,0.0,historical
59,1035.642832509616,1494.4969489809314,1312.616864618079,24.43166180867931,45.0,0.0,historical
60,961.0885390428518,1686.1715810788653,1324.6448041637077,-58.85219351265052,45.0,0.0,historical
1,1.33e-06,1.33e-06,1.33e-06,0.0,40.0,1.7024674616503813e-13,success
2,1.0458707090616225e-06,8.988232772350311e-07,1.0258507606983184e-06,4.390168437957764e-07,46.67143702507019,8.589295284130019e-14,success
3,1.4202326238590179e-06,1.820709389965443e-06,1.3094855950122016e-06,8.720420150911352e-07,30.0,0.0,success
4,1.3495346679939176e-06,1.7681898611278755e-06,6.14600843101854e-07,1.1523401695066823e-07,50.0,6.094855535182647e-14,success
5,5.81183784809125e-07,1.1045105396168782e-06,1.62303405630822e-06,-1.860581713557419e-07,42.231687066451805,3.104439997784586e-14,success
6,2.1104972101312907e-06,1.4736198845075666e-06,5.862063161218474e-07,3.3398996801317076e-07,37.27776280467747,0.0,success
7,2.128e-06,2.128e-06,2.128e-06,1.064e-06,33.570240801253334,1.2416638478730404e-14,success
8,5.32e-07,1.386622529751242e-06,7.037561880973643e-07,-7.717325702501978e-08,48.747977643012725,1.9710721000969736e-14,success
9,2.128e-06,6.327602871656426e-07,2.128e-06,1.064e-06,35.648141680849555,1.1585014641911846e-14,success
10,2.128e-06,5.32e-07,2.128e-06,1.064e-06,45.09685919696842,2.6030405664274206e-15,success
11,5.32e-07,5.32e-07,2.128e-06,-6.855606810197054e-07,50.0,1.2422784038578298e-15,success
12,2.128e-06,2.0686255328394984e-06,8.903234358962182e-07,6.497654849146043e-07,43.86681005673143,0.0,success
13,2.128e-06,2.128e-06,2.128e-06,-1.8633263445612325e-07,34.74590346277828,1.0380607480184364e-15,success
14,5.32e-07,5.32e-07,1.4265381872418666e-06,-1.0077078489114869e-06,30.0,0.0,success
15,2.128e-06,2.128e-06,2.128e-06,-1.064e-06,32.53345571485988,7.262696864985017e-16,success
16,6.505649243542611e-07,9.799507954914113e-07,2.042838573922813e-06,7.997263121266796e-07,40.44372889489381,2.940211782957028e-14,success
17,1.608895344839707e-06,1.7274950160617835e-06,2.0399671270906857e-06,1.0106762338225257e-07,50.0,5.711627307516212e-14,success
18,5.32e-07,2.128e-06,5.32e-07,1.064e-06,31.49999429283385,0.0,success
19,2.128e-06,7.752572360661083e-07,5.32e-07,9.734539623997675e-07,50.0,0.0,success
20,5.32e-07,1.6235585314473736e-06,5.32e-07,-9.117511054736876e-07,46.06933153685285,0.0,success
21,5.32e-07,6.216115369669862e-07,5.32e-07,8.933582885151937e-07,30.0,0.0,success
22,2.128e-06,9.19557578667551e-07,1.693096206426744e-06,8.430071062787207e-07,48.07489438736967,7.552431757488755e-15,success
23,5.32e-07,5.32e-07,5.32e-07,6.849790547236579e-07,50.0,0.0,success
24,5.32e-07,1.162425676357931e-06,2.128e-06,-1.064e-06,47.74718150073433,3.347112483661246e-14,success
25,5.32e-07,2.128e-06,2.128e-06,1.064e-06,43.92440296783666,4.1452242178562765e-14,success
26,5.32e-07,5.32e-07,5.32e-07,-8.935001526369739e-07,38.45942569691753,0.0,success
27,2.128e-06,2.128e-06,2.128e-06,1.064e-06,30.0,1.0014445459969022e-14,success
28,7.392576372600958e-07,1.979150378938892e-06,2.128e-06,8.488556328908428e-07,36.47402090544666,1.577448766637971e-14,success
29,2.128e-06,1.193661732156657e-06,2.128e-06,-2.616040349748265e-07,37.87674922414147,1.2501622173716147e-14,success
30,5.32e-07,5.32e-07,2.128e-06,-1.064e-06,50.0,2.8763772179072566e-14,success
1,1.33e-06,1.33e-06,1.33e-06,0.0,40.0,1.7024674616503813e-13,success
2,1.7601205053329469e-06,7.382278091907501e-07,1.0131697778701782e-06,-9.435739785432815e-07,44.06456232070923,0.0,success
3,1.183227976460361e-06,1.5158443484283019e-06,2.068267525656615e-06,9.90098864571863e-07,30.0,5.782468997366006e-14,success
4,1.6682672689706674e-06,8.183430072955366e-07,6.483081250732864e-07,6.434589904114332e-07,50.0,0.0,success
