Angle,Power
0,-1.4543078282014223e-15
1,-1.4670270951042993e-15
2,-1.5026026879036462e-15
3,-1.5535936398999653e-15
4,-1.6086256276474405e-15
5,-1.6538920413920375e-15
6,-1.6751397454281713e-15
7,-1.659918955746622e-15
8,-1.5475972630960497e-15
9,-1.4917997169615046e-15
10,-1.3401263481114711e-15
11,-1.1498943063444383e-15
12,-9.472707170605023e-16
13,-7.429887171915558e-16
14,-5.535246548704968e-16
15,-3.9437459531576933e-16
16,-2.734208908251902e-16
17,-1.9381596871424249e-16
18,-1.5361838894512062e-16
19,-1.4445241442964715e-16
20,-1.5663737804977792e-16
21,-1.7953578217510786e-16
22,-2.0571391681620578e-16
23,-2.246570533081043e-16
24,-2.346476524615452e-16
25,-2.3525860731654774e-16
26,-2.2794330223350884e-16
27,-2.157455090627376e-16
28,-2.0181835930332357e-16
29,-1.8876308635256905e-16
30,-1.7817682510662877e-16
31,-1.7055272118159808e-16
32,-1.6541574359225142e-16
33,-1.61725328557808e-16
34,-1.5820638207968914e-16
35,-1.537043107140685e-16
36,-1.474133224007055e-16
37,-1.3887894141467426e-16
38,-1.283884296186815e-16
39,-1.1508205360896317e-16
40,-1.0210715680878584e-16
41,-8.876782713998036e-17
42,-7.569653305824065e-17
43,-6.342663268783113e-17
44,-5.228187161108171e-17
45,-4.2484065915084243e-17
46,-3.4098847674869163e-17
47,-2.7086973900746524e-17
48,-2.1339588049914237e-17
49,-1.671049554334614e-17
50,-1.3040300490338718e-17
51,-1.0173432309598525e-17
52,-7.96742437923841e-18
53,-6.29710228896861e-18
54,-5.045995145976598e-18
55,-4.143159514582766e-18
56,-3.501651530973078e-18
57,-3.05780316092481e-18
58,-2.758871819591118e-18
59,-2.5617261290631896e-18
60,-2.4318144751006254e-18
61,-2.3422356198696715e-18
62,-2.2728942313549306e-18
63,-2.2095861122295378e-18
64,-2.1430738983898915e-18
65,-2.0681272135244326e-18
66,-1.9825912702997205e-18
67,-1.8865384441244363e-18
68,-1.7814875746513527e-18
69,-1.6698023376594901e-18
70,-1.554188171652276e-18
71,-1.4373416337071267e-18
72,-1.3217144233189397e-18
73,-1.2093739994108552e-18
74,-1.1019496717852502e-18
75,-1.0006221469245183e-18
76,-9.061597998957188e-19
77,-8.18977059252479e-19
78,-7.391929760125592e-19
79,-6.666974561207657e-19
80,-6.012136868361849e-19
81,-5.423479773393557e-19
82,-4.896357325021503e-19
83,-4.425773038154089e-19
84,-4.0066308417006838e-19
85,-3.6339545102871843e-19
86,-3.3031881703751733e-19
87,-3.0100592561800344e-19
88,-2.736425314490667e-19
89,-2.516119507412922e-19
90,-7.066979200500972e-30
