iteration,x1_um,x2_um,x3_um,y1_um,y2_um,y3_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,0.0,0.0,0.0,0.0,0.0,0.0,9.124999999999999e-07,0.0,40.0,0.02528861840441443,success
2,-2.0612520575523374e-07,-3.11850488185883e-09,2.2832863330841113e-08,3.04557718038559e-07,-5.748297873139381e-07,-4.495325374603271e-07,1.3279574403166768e-06,2.9194811701774604e-07,30.860163122415543,0.5030335446932828,success
3,2.4236055914312604e-07,4.190236366167663e-07,-5.063527626544237e-07,-6.7692097119987e-07,9.843481974676248e-08,3.716543247923254e-08,5.6302900117822e-07,-3.659196730703118e-08,47.57984336465597,0.03278528021596242,success
4,4.906143105588854e-07,-5.713415416702627e-07,5.394580316916109e-07,6.941788709722458e-07,4.705387300625443e-07,4.072870902903378e-07,1.0000899581285192e-06,-3.998254116438329e-07,44.10466931760311,0.02906115155235694,success
5,-3.581818241632551e-07,8.671371928752138e-08,-1.9218088298108829e-07,5.675207091272726e-07,-7.3e-07,-7.3e-07,1.46e-06,3.941890197475498e-07,30.0,0.1534669010769038,success
6,1.8211883192824836e-07,-3.111505911944806e-07,2.9208283106637705e-07,5.235888754808483e-07,-6.787265948578456e-07,-4.2561875123601725e-07,1.46e-06,-9.832058571735705e-08,30.0,0.4570709134212392,success
7,-1.5518094652426332e-07,1.4791620046284792e-07,-5.244367690831597e-07,5.893410069395656e-07,-3.90622942038595e-08,-4.4220398196908247e-07,1.46e-06,-6.627172882719487e-08,30.0,0.6364832589156241,success
8,2.1034624909745712e-07,-1.5535303342944127e-07,-7.244956143165823e-07,5.089107043001902e-07,6.092467355261678e-07,-4.4768495109788435e-07,1.46e-06,4.296926807586948e-07,30.0,0.2409538401881942,success
9,-3.076579861785391e-07,4.0991930466375484e-07,-6.696400851252599e-07,7.3e-07,-2.3358518480004408e-07,-4.3934746239938634e-07,1.46e-06,-7.3e-07,30.0,0.2370538359893933,success
10,-5.592214592052488e-07,2.9176526250513253e-07,-3.483643568443147e-07,7.3e-07,-2.2928285592954249e-07,-4.23665805413489e-07,1.46e-06,1.1643118843297997e-08,30.0,0.8328705587404266,success
11,-7.3e-07,7.3e-07,1.6251475180733108e-08,7.3e-07,-6.036743334630845e-07,-3.9586304249527607e-07,1.46e-06,-1.1628395771393155e-08,30.0,0.6767556610315741,success
12,-7.3e-07,-8.422456096476341e-08,-3.421505812497688e-07,7.3e-07,-1.6178657001355729e-07,-3.985622017963141e-07,1.46e-06,-2.4135021958203927e-09,30.0,0.3069190018221381,success
13,-4.214671881431426e-07,4.3906297808656943e-07,-1.9589647622620153e-07,7.111007332234798e-07,-3.5841776099713193e-07,-4.284276758135177e-07,1.46e-06,8.487924945160016e-08,30.0,0.6280644733290885,success
14,-6.02263678222867e-07,4.3043346754269713e-07,-3.3362989933972475e-07,7.3e-07,-2.974175266903888e-07,-4.375014261467053e-07,1.46e-06,-3.026000701315012e-08,30.0,0.7972634771182222,success
15,-7.3e-07,3.9953986207512956e-07,-3.783658244462992e-07,7.14188551581992e-07,-1.4568952341265322e-07,-3.5821559515764733e-07,1.46e-06,-4.4946084133312316e-08,30.0,0.6421752909653149,success
16,-3.8144291475755227e-07,4.3418569447365563e-07,-3.585502483223864e-07,7.3e-07,-3.3532324212953026e-07,-4.961321441275816e-07,1.46e-06,1.736311332504409e-09,30.0,0.5187093631519,success
17,-5.518990999561132e-07,3.658188167961153e-07,-5.779104538207542e-07,7.3e-07,3.175696149405096e-07,-3.409287264844436e-07,1.46e-06,7.45199155247965e-08,30.0,0.202379012209904,success
18,-7.006371224151284e-07,3.462862601041968e-07,-1.6079756784541797e-07,7.3e-07,-4.5320383031953225e-07,-4.260542741180765e-07,1.46e-06,5.131586881234283e-08,30.0,0.30320075970428995,success
19,-4.33146564229896e-07,4.2796469744650724e-07,-3.284202586845981e-07,6.599443423180313e-07,-2.124133008792459e-07,-4.299929171570006e-07,1.4579600918999984e-06,3.973520448526355e-08,30.009090035339554,0.5914739548210868,success
20,-6.46516765707612e-08,7.3e-07,-3.1737302873211875e-07,4.003387859618216e-07,-3.572330818482337e-07,-3.7510412536477744e-07,1.442296696069797e-06,-9.615106219537332e-08,30.0,0.5697956778205735,success
21,-1.7217149698015218e-07,7.3e-07,5.56301424668386e-07,7.3e-07,-2.1017230081542362e-07,-4.623956186271445e-07,1.2561786524845357e-06,-7.812046684040715e-08,30.0,0.1563053565737974,success
22,-5.710506013382209e-07,3.9499823208331884e-07,-8.613797987858379e-08,7.3e-07,-2.2780563503687025e-07,-3.229295943972412e-07,1.46e-06,5.218312923976323e-07,30.0,0.5552046405498243,success
23,-5.808085603294048e-07,3.7615438855896697e-07,-2.7454207949756255e-07,7.3e-07,-2.1109274957267258e-07,-3.1823668700956133e-07,1.46e-06,-2.3715531957687428e-07,30.0,0.5417766486462188,success
24,-6.988853562541505e-07,3.334972381043965e-07,-3.764568930393831e-07,7.3e-07,-2.417796618282686e-07,-4.4551205717251813e-07,1.46e-06,1.3003930288936435e-07,30.0,1.1324398796715007,success
25,-7.3e-07,3.437952351300384e-07,-4.6950514502647353e-07,7.099164644176972e-07,-2.644112179999339e-07,-3.5722358195504334e-07,1.46e-06,1.830673100541468e-07,30.0,0.45562619355681916,success
26,-7.3e-07,7.3e-07,-4.44640935622655e-07,7.3e-07,-1.8318843145967738e-07,-4.927669901833307e-07,1.46e-06,5.377492084210996e-07,30.0,0.4020815623710598,success
27,-6.795198204782285e-07,7.187050460489739e-07,-3.5174553966994935e-07,7.3e-07,-3.4897166496682716e-07,-4.3652408367554783e-07,1.46e-06,6.764251513362983e-08,39.81010247420693,0.706345038657845,success
28,7.3e-07,3.0272234232290524e-07,-4.4641425603025095e-07,7.3e-07,-4.4504988162709e-07,-4.0335300213899684e-07,1.46e-06,1.654809320144778e-07,41.760183083715326,0.11236767284861858,success
29,-7.3e-07,6.598942486397971e-07,-3.4311198832796535e-07,-1.5357006181898533e-07,-2.7329383188430013e-07,-4.580878363994564e-07,1.46e-06,9.131205600943603e-09,30.0,0.07184158618203114,success
30,-7.3e-07,3.1059257630172775e-07,-3.185114960185258e-07,7.3e-07,-2.1788698530620548e-07,-4.617795595995943e-07,1.46e-06,3.7767328126603384e-07,30.774538119832787,0.704252807098898,success
31,-3.6021443577681674e-07,7.3e-07,-1.2434024081541248e-07,5.775959351668152e-07,-5.227055930598618e-07,-3.8525712167128063e-07,1.4503315162054653e-06,-3.3419991913287445e-08,34.18230517764259,0.7670790401419071,success
32,-5.482870978370843e-07,7.3e-07,-1.9029202945307268e-08,7.3e-07,-4.5063038987308094e-07,-3.558878102959706e-07,1.46e-06,-1.596645672420701e-07,36.42153428845082,0.7044958317967444,success
33,-7.3e-07,2.7366428206043913e-07,-2.913001031294295e-07,7.3e-07,-1.6118282731443907e-07,-4.815442350102776e-07,1.46e-06,-1.2713652809721974e-08,30.0,1.1908049953370767,success
34,-7.3e-07,3.3059413313025086e-07,-3.861263193812049e-07,7.3e-07,-1.9531552528562877e-07,-4.770618926549587e-07,1.46e-06,7.274233253495085e-08,30.299728174595256,0.6142794773435036,success
35,-7.3e-07,2.419716028449674e-07,-1.35955040413237e-07,7.3e-07,-1.1972917521317956e-07,-5.271192435979857e-07,1.46e-06,-1.01500996892084e-07,30.0,0.7612616644613597,success
36,-7.3e-07,2.4344753430692056e-07,-2.900739022774917e-07,7.3e-07,-1.2958048331297286e-07,-4.880186811126607e-07,1.142309564391214e-06,-1.4483874856443417e-07,30.0,0.7584788882488791,success
37,-7.3e-07,2.5461617588403143e-07,-2.954358491462843e-07,7.3e-07,-1.1606174263792243e-07,-4.922017610974229e-07,1.46e-06,1.0732998961577859e-07,42.8783779336677,0.256712502163455,success
38,-7.3e-07,2.328106040905698e-07,-2.3291444147274394e-07,4.830483358453891e-07,-1.7168192238392602e-07,-5.051857785524387e-07,1.46e-06,1.5381749874887643e-07,30.0,0.6402237096713352,success
39,2.877284779083413e-07,2.5900094504902125e-07,-2.443427293828008e-07,7.3e-07,-1.2994446011937727e-07,-4.807781185810128e-07,1.46e-06,1.5475712711171864e-07,30.0,0.2980874268617301,success
40,-7.3e-07,2.632116472180357e-07,-1.350505637274167e-07,7.3e-07,-1.0467059205885162e-07,-4.300044395634675e-07,1.46e-06,-2.2357263480853136e-09,30.0,1.4067585494813142,success
41,-7.3e-07,2.4884183884734137e-07,-3.422050572119267e-08,7.3e-07,-8.597752464743706e-08,-4.246663285906486e-07,1.46e-06,-2.535899884823581e-07,30.0,0.718293854948173,success
42,-7.3e-07,2.388394995741138e-07,-1.1385907286816245e-09,7.3e-07,-7.152885301563657e-08,-4.0960564654329165e-07,1.46e-06,1.5387492905414158e-07,30.0,0.7815769446447679,success
43,-4.875252942155052e-07,7.3e-07,-7.3e-07,7.3e-07,-5.269131757652458e-07,-7.28395248128789e-07,1.46e-06,4.6494312596094096e-08,34.89991133909076,0.2781366146336786,success
44,-7.3e-07,2.564496230923124e-07,-2.781807469846306e-07,7.3e-07,-5.340605613437891e-08,-4.392698952597936e-07,1.46e-06,5.792684133631165e-08,30.0,0.9511841427294485,success
45,-7.3e-07,3.6715494810347366e-07,-1.0445333829747125e-07,7.3e-07,-9.305515376385596e-08,-4.5746308099941886e-07,1.46e-06,5.930378559192757e-08,30.0,0.8635141262386736,success
46,-5.902449693614852e-07,7.3e-07,-5.334234397724244e-07,7.3e-07,-5.665432298999455e-07,-3.8786210737683956e-07,1.46e-06,1.5727231465662866e-07,33.16347399776445,0.36603097978931437,success
47,-7.3e-07,2.3230064237964727e-07,-2.0277799574150786e-07,7.3e-07,-1.0122663614321007e-07,3.9433487576980056e-08,1.46e-06,7.83895346164508e-08,30.0,0.17139111576473082,success
48,-7.3e-07,2.43979737477046e-07,-2.5306263213467033e-07,7.3e-07,-1.3547165297598081e-07,-4.3477504720929847e-07,1.46e-06,-1.5408673536846567e-07,30.0,0.6029930424262069,success
49,-7.3e-07,2.866791620340999e-07,-2.0588351403883538e-07,7.3e-07,-4.2929522492209656e-08,-5.72647900914746e-07,1.46e-06,1.9574740112562416e-07,30.0,1.0611957838748525,success
50,-5.340710259126071e-07,7.3e-07,1.6369723179970835e-07,4.05429530043654e-07,-6.057883297179445e-07,-5.177804594294422e-07,1.46e-06,1.1624879814748685e-07,37.499224855093544,0.3515887912921478,success
