iteration,x1_um,x2_um,x3_um,y1_um,y2_um,y3_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,0.0,0.0,0.0,0.0,0.0,0.0,9.124999999999999e-07,0.0,40.0,5.835773198815243e-06,success
2,-5.07439705748111e-07,3.9984050465747707e-07,-5.61063102837652e-07,-5.517037687078118e-07,-7.493923306465144e-08,2.2757980635389684e-07,1.080583702358417e-06,-4.953827605769038e-07,41.07919059693813,0.16045374570241056,success
3,-3.056607521884143e-07,-6.339700140245259e-07,3.0802380822598937e-07,3.51033032592386e-07,-4.149739390239119e-07,7.033308910019695e-07,8.189657430909573e-07,-2.923709416761999e-08,45.71782939136028,0.003236469274844894,success
4,3.548491311259567e-07,1.8368405235931272e-07,-3.422404234483838e-07,-2.708767402730882e-07,6.615499592013656e-07,-2.200070580840111e-07,1.283109513982199e-06,1.983668950013816e-07,34.79594759643078,0.7242893096365961,success
5,5.008413504539944e-07,3.448880394850543e-07,-6.618952453743984e-07,-5.515047713275879e-07,7.3e-07,-2.868572177153842e-07,1.46e-06,2.242879741054163e-07,31.5377529094281,0.8401018302895019,success
6,7.3e-07,7.3e-07,-7.3e-07,-7.3e-07,7.3e-07,7.3e-07,1.46e-06,-7.3e-07,30.0,0.09001144381697651,success
7,2.382159328412844e-07,1.0376571571098159e-07,-7.3e-07,-6.900669732247382e-07,7.3e-07,-5.211768807191669e-07,1.46e-06,5.207136877483352e-07,32.33749492272733,0.8666889552683231,success
8,7.3e-07,7.3e-07,-7.3e-07,-1.1112342514595159e-08,7.3e-07,-7.3e-07,1.46e-06,4.604634426629739e-07,32.02867236052658,1.0444613485247203,success
9,9.259233310323757e-09,7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,1.46e-06,4.3628595074898287e-07,30.0,1.3064470021279475,success
10,-7.3e-07,7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,1.46e-06,1.5077887785849866e-08,30.0,0.6096754774150217,success
11,2.538587073333187e-07,7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-6.948748786550537e-07,1.46e-06,7.3e-07,30.0,0.19278219195817034,success
12,-7.189875830518325e-07,7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,1.46e-06,3.6134610277797137e-07,30.0,1.0290249697422282,success
13,1.8797811795963943e-07,7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,1.46e-06,3.6817435391683075e-07,30.0,0.6575908533095469,success
14,-5.955644611574723e-07,7.3e-07,-7.3e-07,5.808369981990491e-07,7.3e-07,-7.3e-07,1.46e-06,4.5003105252286403e-07,30.407191959188165,0.5946121431446031,success
15,5.861025626464504e-07,7.3e-07,-7.3e-07,-6.376547444591498e-07,7.3e-07,-7.3e-07,1.46e-06,3.626433242134548e-07,42.06852371340075,0.05386525272371853,success
16,7.3e-07,-6.554814258028652e-07,-7.3e-07,4.6856160185421414e-07,7.3e-07,-7.3e-07,1.46e-06,3.541732433021066e-07,31.002106238594013,1.1191436169595186,success
17,7.3e-07,-7.3e-07,2.5434079022655895e-08,-5.32385240792641e-07,7.3e-07,-7.3e-07,1.46e-06,3.560901655624093e-07,30.0,1.5812123988395281,success
18,7.3e-07,-7.3e-07,7.3e-07,-1.3806461451617803e-07,7.3e-07,-7.3e-07,1.46e-06,3.58370476322167e-07,30.0,0.7051735361364297,success
19,7.3e-07,-7.3e-07,-2.1502532064149615e-07,-7.3e-07,3.4792700738164516e-07,-7.3e-07,1.46e-06,3.730113074283007e-07,30.0,0.45646399760291223,success
20,7.3e-07,-7.3e-07,-2.1942345374354002e-07,-7.3e-07,7.3e-07,-7.3e-07,1.2184451888041518e-06,3.7163933839259325e-07,30.0,1.650290225426902,success
21,7.3e-07,-7.3e-07,-1.4362602393432496e-07,2.0245548494494214e-08,7.3e-07,-7.3e-07,7.787806645379654e-07,3.7455946733228156e-07,30.0,0.40132892776002416,success
22,7.3e-07,-7.3e-07,-2.0046904261875205e-07,-7.3e-07,7.3e-07,-7.3e-07,1.3664981035819055e-06,3.7420216293973055e-07,30.0,1.2868545200313892,success
23,7.3e-07,-7.3e-07,-1.336572458440992e-07,6.608152960244988e-07,7.3e-07,-7.3e-07,1.333133001958122e-06,3.378022273548723e-07,30.0,1.0820250904462112,success
24,-5.355353840793176e-07,-7.3e-07,-2.0095070282386714e-07,-7.3e-07,7.3e-07,-7.3e-07,1.3424338030012307e-06,3.1262967996006734e-07,30.0,0.1363708536704475,success
25,7.3e-07,-7.3e-07,-1.2718253765246532e-07,-5.693148061987753e-07,7.3e-07,-3.3903775865195307e-07,1.402990518770598e-06,4.3207594407607133e-07,30.0,0.963912255878942,success
26,7.3e-07,-7.3e-07,-3.3177827157139577e-07,-5.540680338087702e-07,7.3e-07,-7.3e-07,1.3467001691025541e-06,2.86338878065308e-07,31.525949929047695,1.2320532187860522,success
27,7.3e-07,3.900989946704674e-07,-2.0759745685816864e-07,-7.3e-07,7.3e-07,-7.3e-07,1.3216683512947358e-06,3.6082071836828594e-07,30.0,0.418135494909444,success
28,7.3e-07,-7.3e-07,-6.1817474831940955e-09,-4.5343183433876303e-07,7.3e-07,-6.911220904491515e-07,1.2489602453647401e-06,3.4842067225508587e-07,30.076467461703064,1.5366611574144253,success
