iteration,x1_um,x2_um,x3_um,y1_um,y2_um,y3_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,5.32e-07,-5.32e-07,0.0,0.0,0.0,5.32e-07,1.33e-06,3.99e-07,40.0,4.180051115360004e-14,success
2,8.615365479215979e-07,-5.847436302527785e-07,-5.813689156323671e-07,7.493518134802579e-07,-4.4509343543648724e-07,4.7599070072174075e-07,1.214792896911502e-06,1.955524315927178e-07,42.063756845891476,3.563592945409355e-14,success
3,5.893875284194946e-07,-4.135269910544157e-07,7.034566229432822e-07,-9.232636092305184e-07,-7.634949986040593e-07,1.9101282232254745e-07,1.8789681095406414e-06,5.038667864724993e-08,46.764108035713434,8.286166289244742e-15,success
4,7.633553123556616e-07,-3.044702272526843e-07,-1.8642471353199706e-07,1.885248660671375e-07,-9.897685933942775e-08,4.968768910625789e-07,1.4479377947119183e-06,2.918391063425491e-07,38.9602067525776,2.902299200280163e-14,success
5,4.4467798410937443e-07,-6.540956151035535e-07,1.8590418553265493e-07,-1.5906091106188448e-07,-3.702038886613056e-07,4.917244413454412e-07,1.3764051880599022e-06,3.454606623468663e-07,43.955330317360506,1.918624844071249e-14,success
6,6.418308089929962e-07,-7.008305494394303e-07,-2.623121880957365e-07,2.8834247256844203e-07,-9.389604897433912e-09,4.575242688433443e-07,1.1877286216131198e-06,3.142359852090275e-07,40.25192252278855,1.3727053031322204e-14,success
7,7.775334063204363e-07,-4.767371013903283e-07,-4.7280307282279385e-07,5.787264515137327e-07,-7.693382940310644e-08,5.450347948745093e-07,1.2306904245951987e-06,3.205797884589656e-07,39.017232423627654,9.91428056411722e-15,success
8,7.476590534507945e-07,-7.265778003562776e-07,-1.313344782858563e-07,3.589972878347991e-08,-1.621691546999655e-07,2.5624088013186285e-07,1.3303881108223733e-06,1.3017676796830455e-07,41.70967641953084,2.02436577567961e-14,success
9,6.560384142978581e-07,-1.86689160400433e-07,1.2359272442653718e-08,-3.392878259001698e-08,-9.898803446804935e-09,5.698873257612927e-07,1.5303032419776499e-06,3.8607471276852295e-07,38.23652132209646,6.652398484287569e-14,success
10,6.442322331098947e-07,-7.731037925503145e-08,7.212566560769521e-08,-1.1295323169899815e-07,7.04597468409532e-08,6.043249621840388e-07,1.5877900228162821e-06,4.24475778677106e-07,37.22536577938333,3.732347697357703e-14,success
11,6.980567018944133e-07,-1.3252681520682895e-07,-1.5829744361113893e-08,-1.9484627401770898e-09,-5.03268767008111e-08,5.68341191064074e-07,1.5607300858850032e-06,3.6681151468593625e-07,38.156633548423,5.402925766210163e-14,success
12,6.266704543024271e-07,-2.8169572217248633e-07,1.3148207993259088e-08,-3.4668881887534763e-08,-2.3087506883947674e-09,5.516893868325917e-07,1.480350865665454e-06,3.8367790423567233e-07,38.69356579848927,6.46500076202875e-14,success
13,6.380439758094471e-07,-2.2873420877368908e-07,9.180788527722742e-08,-9.00366991434884e-08,-2.9635209005704776e-07,5.418251155297901e-07,1.5743974022752237e-06,3.333960453993541e-07,40.787518832028084,3.00558092793847e-14,success
14,5.756184127588355e-07,-1.5123237134338235e-07,1.5686470042295417e-07,-1.8587602905120027e-07,-2.2234422720106418e-08,6.039399474196842e-07,1.5791433885407557e-06,4.314711640490409e-07,38.54890451583875,7.548233339678847e-14,success
15,5.638622200574194e-07,-2.904051124107936e-07,3.4843954029246347e-07,-5.396373668011114e-07,1.3117054960643057e-07,4.267027628877032e-07,1.6162636019485626e-06,3.432470188628366e-07,38.56097581561123,8.502194323846025e-14,success
16,5.371108774304236e-07,-1.8163302178476112e-07,4.497324834314384e-07,-4.310688894669196e-07,2.3847878860911394e-07,2.726604632754447e-07,2.0267327131421626e-06,1.3051019632452582e-07,38.60631139879628,6.985300675019625e-14,success
17,5.686227349470186e-07,-2.1439641870305645e-07,4.0664645722686016e-07,-1.0277411515234856e-06,2.4292507345643835e-07,3.994832020586354e-07,1.4400430601182343e-06,5.129044559712912e-07,38.613802511887684,6.851777306593266e-14,success
18,5.224486070555435e-07,-6.398962699851566e-07,5.913369043028082e-07,-5.1087852860441e-07,-2.142114840041322e-07,6.076180197078048e-07,1.4485868503046493e-06,3.1666139037805684e-07,38.50500581318149,9.286506302412704e-14,success
19,4.6576065749357034e-07,-7.896208525640696e-07,3.511655715489177e-07,-7.18835599190841e-07,-7.210749256377231e-07,6.800465073648061e-07,1.784738121167609e-06,3.067887240645455e-07,38.47689155452261,6.405503390137785e-14,success
20,5.060614692880346e-07,-4.148304688948894e-07,7.606555053569407e-07,-2.7131686331394966e-07,-1.880939408005663e-08,5.645984659329408e-07,1.0686018030763347e-06,2.921934595446746e-07,38.48735933099958,2.0150923047579394e-14,success
21,5.218637229082192e-07,-7.583504223680423e-07,8.644685251554515e-07,-6.052409108776268e-07,-3.14074138454489e-08,5.512558163462925e-07,1.5795573137943083e-06,2.3560681647165849e-07,38.45864943747491,9.208216463148888e-14,success
22,4.992299310116434e-07,-5.362585246424453e-07,8.428750859170016e-07,-5.132117052639634e-07,-3.741772074787973e-07,3.2973168845847263e-07,1.5416300460370921e-06,-6.19864718490363e-08,38.3979358373068,2.0233968725751144e-14,success
23,4.799697846358176e-07,-8.117600206068148e-07,9.325836565864472e-07,-7.457029738074464e-07,-3.979023886430434e-08,6.50858900493096e-07,1.5429630672164322e-06,3.5201252457024845e-07,38.50878249678667,5.716000095731447e-14,success
24,5.221366437078397e-07,-6.675215755433766e-07,5.321675726765712e-07,-5.522794792979057e-07,-1.0363665796574962e-07,5.348736478302394e-07,1.5845458890705735e-06,2.9062740218380435e-07,38.533742977957175,6.261416219912631e-14,success
25,5.964880222492431e-07,-4.440192696462552e-07,1.0629146481493302e-06,-8.34615460465247e-07,-3.0003235926355044e-07,6.636839589667047e-07,1.6917010861114822e-06,2.8899758886021976e-07,38.64422370907407,1.9837803234411128e-13,success
iteration,x1_um,x2_um,x3_um,y1_um,y2_um,y3_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,5.32e-07,-5.32e-07,0.0,0.0,0.0,5.32e-07,1.33e-06,3.99e-07,40.0,4.180051115360004e-14,success
2,1.023493178367615e-06,-4.252634716033936e-07,5.878592491149903e-07,4.246939659118642e-08,-3.3990890121459957e-07,6.963598499298095e-07,8.883199402093887e-07,7.819599324464798e-08,32.39219665527344,2.616177452338718e-13,success
3,3.137568098306656e-08,-1.0087515257224441e-06,-2.280219849944115e-07,-8.222089385986329e-07,3.9017040643095967e-07,4.683482339978218e-07,1.7093651472590864e-06,6.497337073795498e-07,48.66227922961116,2.8423477078753607e-15,success
4,5.839131311774254e-07,-7.283227751925587e-07,-8.301151564568281e-07,-4.0693644510209557e-07,-6.418243884146212e-07,9.940779131129385e-07,1.8899824350327254e-06,-6.558616890013219e-08,35.125154573470354,4.1958433818640627e-13,success
5,1.064e-06,-5.770126548598994e-07,-2.9207215960875013e-07,-3.83984127251004e-07,-1.064e-06,1.064e-06,1.4123249432315316e-06,-2.66e-07,30.0,2.4640524817723713e-13,success
6,3.77674808795855e-07,-8.36762382529546e-07,-9.166584010874873e-07,-2.553200683742763e-07,-2.013525483142327e-07,1.064e-06,2.128e-06,-1.7271528079981465e-07,32.622835982108775,2.837903621863844e-13,success
7,2.8937502693345564e-07,-1.064e-06,1.758685714642979e-07,-1.064e-06,-6.566566517767397e-07,1.064e-06,2.128e-06,-2.66e-07,38.23322255749273,1.2471959550562829e-13,success
8,7.031691370150439e-07,-5.888511824188214e-07,-1.064e-06,-1.2023067531011835e-07,-7.102962200811683e-07,1.0311060116673348e-06,1.9057501219681132e-06,2.180151672999031e-09,33.36851328140366,7.7982896597411e-14,success
9,4.889168971109299e-07,-8.095491941866658e-07,-7.562713424727465e-07,-4.7523031213939184e-07,-5.021198863362244e-07,1.0005246579471003e-06,1.9424362963827845e-06,-1.245915269407047e-07,35.0273961063645,1.776425416944979e-13,success
10,6.417942672138849e-07,-7.065945935685026e-07,-7.956681302342709e-07,-3.482488870390356e-07,-6.519715029012972e-07,1.025080489059771e-06,1.8598139411638996e-06,-1.1066051227080532e-07,33.66326213175301,1.942557998293752e-13,success
11,7.247313130076869e-07,-7.429467519827037e-07,6.081962848266432e-08,-2.833008834167699e-07,1.136025630261326e-07,7.452138167637666e-07,1.0056809079791595e-06,-2.4665865968551945e-07,30.956061827098843,3.515399496000734e-13,success
12,8.646352756817831e-07,-8.371735791717066e-07,9.369071315950895e-07,-8.570525828684412e-08,-1.4982534937708597e-07,6.954659552781609e-07,1.7626726095058988e-06,-2.464603074077202e-07,30.0,1.6419367171081243e-13,success
13,5.32670470639204e-07,-6.880265071109398e-07,-5.43560358394031e-07,-6.093575022825587e-07,2.962179502572494e-07,7.867091450966892e-07,5.32e-07,-2.5243602675738455e-07,33.09293971241045,1.1814069908039868e-13,success
14,6.600766989804075e-07,-1.022988893563459e-06,-9.289862303569668e-08,1.4872393417650397e-08,-6.062841558633594e-08,9.451384190348722e-07,1.4732454117857453e-06,-2.1208424420393604e-07,30.0,2.596509476056605e-13,success
15,1.064e-06,-8.392258343998109e-07,2.3560550601620978e-07,-5.454294361150123e-07,-9.966922657435134e-07,4.862694066626482e-07,9.269957776712909e-07,-2.66e-07,30.0,2.435988378923543e-13,success
16,1.0468318126057294e-06,-4.159819370446405e-07,2.4058795042302264e-07,-5.290432981987972e-07,1.0580845093725176e-06,1.0294497402545326e-06,1.1674860484129286e-06,-2.66e-07,30.0,5.909180699508538e-14,success
17,5.968277977178602e-07,-1.0249195159260076e-06,-1.4169073856158236e-07,-2.785839684321002e-07,-4.609177565509601e-07,6.52925316830101e-07,7.493985633401103e-07,-1.5841814730649383e-07,32.33262915785435,1.0874957664722261e-13,success
18,7.188813713159232e-07,-7.183143392904381e-07,6.936271786411254e-08,1.2866557048302226e-07,-6.238319193572192e-07,8.429822093366168e-07,1.2737819891904153e-06,-2.442744019267161e-07,30.57666386685095,2.2737880315252986e-13,success
19,1.007096151251223e-06,-8.295009808991863e-07,-4.437199852932146e-07,-6.176611573713397e-07,-1.9695768100470108e-07,7.611125519342106e-07,1.6194434985814281e-06,-2.66e-07,30.0,1.3478008604045693e-13,success
20,5.716771889754314e-07,-8.332545003343076e-07,-1.018049929734735e-06,-5.202607820162316e-07,-7.521175103524604e-07,1.064e-06,2.064064814645945e-06,-1.6578009004159011e-07,34.51468561082848,7.974366088534371e-14,success
21,4.629390258296149e-07,-4.90456396095484e-07,-3.9682842768168153e-07,-7.255139422256263e-07,1.2912022053320942e-07,1.04997426266118e-06,1.5308811100903379e-06,-2.66e-07,30.727670009131092,1.9787028628949757e-13,success
22,3.9526536934748775e-07,-8.457010870732766e-08,6.30190821315696e-07,1.7853571134151028e-07,-8.025708005489536e-07,1.064e-06,1.030640474240245e-06,-2.66e-07,30.0,4.6266642290572295e-14,success
23,8.757151336944395e-07,-7.262716279319917e-07,3.284434164433579e-07,-7.563561919924669e-07,-5.075909581501008e-07,1.064e-06,9.91548938379688e-07,-2.66e-07,34.411851841090126,4.585584730399062e-13,success
24,8.506788899845961e-07,-3.980079038612624e-07,6.184283724432712e-07,-1.064e-06,-5.330529702293818e-07,1.064e-06,9.588349636566326e-07,-2.66e-07,30.20349132348876,2.153248524872342e-13,success
25,9.685574012469968e-07,-7.41436786657323e-07,6.893972798320549e-07,-1.3897208061130763e-07,-4.4795980898357576e-07,1.064e-06,9.55858712743339e-07,-2.66e-07,37.02362003076671,1.227217039476336e-13,success
26,8.721488198840243e-07,-6.776699508111737e-07,3.6964528995017376e-07,-8.044685209801548e-07,-5.099128454669211e-07,1.061622131953703e-06,9.873716345394461e-07,-2.5848035719510795e-07,34.218973238506365,5.032631947306141e-13,success
27,8.271133600538163e-07,-6.761520150894445e-07,2.385995686330095e-07,-7.724970014744101e-07,-5.423709242958139e-07,1.04701544125103e-06,1.1222282415193088e-06,-2.1687014668258847e-07,34.68095273971132,3.838450065341724e-13,success
