iteration,x1_um,x2_um,x3_um,y1_um,y2_um,y3_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,0.0,0.0,0.0,0.0,0.0,0.0,9.124999999999999e-07,0.0,40.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
2,2.6854934453964226e-07,-2.469009047746658e-07,-6.584639450907706e-07,-7.177218497171997e-07,2.609164023399353e-07,5.416203927993774e-07,1.1601729926466942e-06,1.5604429125785823e-07,41.18038773536682,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
3,-4.7997933123260723e-08,-5.664164193719625e-07,-2.0321162592619656e-07,-2.3546314980834719e-07,-3.8072647150605915e-07,-5.856883349642156e-07,1.2741735953139138e-06,-2.717014510929584e-07,38.80757074803114,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
4,7.3e-07,7.3e-07,-7.3e-07,7.3e-07,-7.3e-07,7.3e-07,1.46e-06,7.3e-07,30.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
5,-7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,7.3e-07,1.46e-06,7.3e-07,50.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
6,7.3e-07,7.3e-07,7.3e-07,-7.3e-07,7.3e-07,-7.3e-07,1.46e-06,-7.3e-07,50.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
7,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,7.3e-07,7.3e-07,1.46e-06,7.3e-07,30.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
8,7.3e-07,-7.3e-07,-7.3e-07,7.3e-07,7.3e-07,7.3e-07,1.46e-06,-7.3e-07,30.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
9,-7.3e-07,7.3e-07,-7.3e-07,-7.3e-07,-7.3e-07,7.3e-07,1.46e-06,-7.3e-07,50.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
10,-7.3e-07,-7.3e-07,7.3e-07,7.3e-07,-7.3e-07,-7.3e-07,1.46e-06,-7.3e-07,30.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
11,7.3e-07,-7.3e-07,-7.3e-07,-7.3e-07,7.3e-07,-7.3e-07,1.46e-06,7.3e-07,50.0,0.0,"error: ""Can not find result 'power' in the result provider 'AlNDFT2'"""
